dataset,method,seed,checkpoint_rule,canonical_checkpoint_path,expected_sha256,bundled_relative_path,bundled_size_bytes,bundled_sha256,availability,release_transform_report,provenance_file
DVS-Gesture,SNN-DFA,20260830,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260830/epoch_100.pt,66688715a5e593febcfeadea347f91017891418c89d03fbefadfc941f6b56c2b,,,,hash_and_path_only,,results/frozen_sources/dvs/gate_per_seed.csv
DVS-Gesture,SNN-DFA,20260831,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260831/epoch_100.pt,11cbc80703898052a2033d05bbd1ef67acc7414a9f519866c4e305b90c9f8ddb,,,,hash_and_path_only,,results/frozen_sources/dvs/gate_per_seed.csv
DVS-Gesture,SNN-DFA,20260901,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260901/epoch_100.pt,5ea5704255d28160e5eb1300dc605a6cd87af3a8e22739796fa881a47c5a5085,,,,hash_and_path_only,,results/frozen_sources/dvs/gate_per_seed.csv
N-MNIST,MeanGate,20260830,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageC_gate/mean_gate/seed_20260830/epoch_100.pt,01dd13b84fc1529257bc4f2248e91b56196e7f5c2918f6a8c2d3f135bfbb8def,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,MeanGate,20260831,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageC_gate/mean_gate/seed_20260831/epoch_100.pt,e3828627eaa748905bfcf0d20803a71acae440a27dee9ecaee8e4a17360ffc40,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,MeanGate,20260901,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageC_gate/mean_gate/seed_20260901/epoch_100.pt,0f375c4e4900c40a1a6fbb1fe2881ddab1d8194400528405b6ba6218d9121d7a,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,MeanGate,20260908,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/mean_gate/seed_20260908/epoch_100.pt,4f6543e926f6caf3499bdb2eab1c969579baa9846b5a8022e7ea364f951cc4cd,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,MeanGate,20260909,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/mean_gate/seed_20260909/epoch_100.pt,4fe3c1e770a5dd4feaf9d90eebd3c46dc0c459695f8834d3a925086fc5d60654,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,SNN-DFA,20260830,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,metadata/checkpoints/nmnist_snn_dfa_seed_20260830_epoch_100_release.pt,37803316,c0039c51b76c9c3b6a19d80bf439f8921ee2a9121569de9333793f1b1e30ba2d,bundled_sanitized_release,metadata/checkpoints/checkpoint_release_provenance.json,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,SNN-DFA,20260831,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,SNN-DFA,20260901,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,SNN-DFA,20260908,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,SNN-DFA,20260909,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260909/epoch_100.pt,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,ShuffledGate,20260830,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageC_gate/shuffled_gate/seed_20260830/epoch_100.pt,24d244f8706a1aa0070a87a7ad98a8b74e4936318e21ef2e65013e84971fac29,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,ShuffledGate,20260831,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageC_gate/shuffled_gate/seed_20260831/epoch_100.pt,3cc680946d3d3d57547f7a6888864fddcff727bc1ef1cf30daff6768ea2e1c85,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,ShuffledGate,20260901,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageC_gate/shuffled_gate/seed_20260901/epoch_100.pt,5de9c6b1dd2a33bc7ada5f0431c39bf97831e179699f7cf6af09f3ba37944213,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,ShuffledGate,20260908,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/shuffled_gate/seed_20260908/epoch_100.pt,4d69e086b10457295c0e51da08bcda190d63bf8bb19a0d30d9284a27653879cb,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,ShuffledGate,20260909,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/shuffled_gate/seed_20260909/epoch_100.pt,60b10a243add56995bb973da501c313d1203d82be1b61fe97e00a4ab6f6096e9,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,matched SNN-BPTT,20260830,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_bptt/seed_20260830/epoch_100.pt,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,matched SNN-BPTT,20260831,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_bptt/seed_20260831/epoch_100.pt,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,matched SNN-BPTT,20260901,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_bptt/seed_20260901/epoch_100.pt,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,matched SNN-BPTT,20260908,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/bptt_trained/seed_20260908/epoch_100.pt,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,matched SNN-BPTT,20260909,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/bptt_trained/seed_20260909/epoch_100.pt,f9dc34813fda3e71c51cef44b549d13de3c75bc85a692aab5d81bf6e2e52a92e,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,temporal ANN-DFA,20260830,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageB_ann/temporal_ann_dfa/seed_20260830/epoch_100.pt,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,temporal ANN-DFA,20260831,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageB_ann/temporal_ann_dfa/seed_20260831/epoch_100.pt,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,temporal ANN-DFA,20260901,completed_epoch_100,results/paper1_experiment03_20260901_server/checkpoints/stageB_ann/temporal_ann_dfa/seed_20260901/epoch_100.pt,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,temporal ANN-DFA,20260908,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/temporal_ann_dfa/seed_20260908/epoch_100.pt,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
N-MNIST,temporal ANN-DFA,20260909,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/temporal_ann_dfa/seed_20260909/epoch_100.pt,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,,,,hash_and_path_only,,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv
