probe_position,dataset_index,probe_split,label
0,714,basis_fit,7
1,1097,basis_fit,10
2,609,basis_fit,6
3,22,basis_fit,0
4,225,basis_fit,2
5,316,basis_fit,3
6,24,basis_fit,0
7,579,basis_fit,5
8,476,basis_fit,4
9,264,basis_fit,2
10,182,basis_fit,1
11,630,basis_fit,6
12,876,basis_fit,7
13,251,basis_fit,2
14,37,basis_fit,0
15,429,basis_fit,4
16,326,basis_fit,3
17,1147,basis_fit,10
18,323,basis_fit,3
19,247,basis_fit,2
20,600,basis_fit,6
21,306,basis_fit,3
22,821,basis_fit,7
23,275,basis_fit,2
24,884,basis_fit,8
25,299,basis_fit,3
26,717,basis_fit,7
27,449,basis_fit,4
28,1084,basis_fit,10
29,1095,basis_fit,10
30,731,basis_fit,7
31,181,basis_fit,1
32,1163,basis_fit,10
33,1053,basis_fit,9
34,592,basis_fit,6
35,1093,basis_fit,10
36,262,basis_fit,2
37,450,basis_fit,4
38,851,basis_fit,7
39,918,basis_fit,8
40,1103,basis_fit,10
41,1128,basis_fit,10
42,385,basis_fit,3
43,418,basis_fit,4
44,753,basis_fit,7
45,113,basis_fit,1
46,792,basis_fit,7
47,520,basis_fit,5
48,957,basis_fit,8
49,912,basis_fit,8
50,158,basis_fit,1
51,425,basis_fit,4
52,0,basis_fit,0
53,1028,basis_fit,9
54,599,basis_fit,6
55,976,basis_fit,8
56,536,basis_fit,5
57,602,basis_fit,6
58,1144,basis_fit,10
59,220,basis_fit,2
60,921,basis_fit,8
61,605,basis_fit,6
62,899,basis_fit,8
63,10,basis_fit,0
64,723,basis_fit,7
65,207,basis_fit,2
66,1039,basis_fit,9
67,991,basis_fit,9
68,674,basis_fit,6
69,1135,basis_fit,10
70,804,basis_fit,7
71,1174,basis_fit,10
72,874,basis_fit,7
73,657,basis_fit,6
74,403,basis_fit,4
75,471,basis_fit,4
76,59,basis_fit,0
77,132,basis_fit,1
78,937,basis_fit,8
79,379,basis_fit,3
80,265,basis_fit,2
81,925,basis_fit,8
82,762,basis_fit,7
83,689,basis_fit,7
84,281,basis_fit,2
85,680,basis_fit,6
86,119,basis_fit,1
87,504,basis_fit,5
88,238,basis_fit,2
89,743,basis_fit,7
90,1067,basis_fit,9
91,87,basis_fit,0
92,463,basis_fit,4
93,928,basis_fit,8
94,995,basis_fit,9
95,966,basis_fit,8
96,772,basis_fit,7
97,746,basis_fit,7
98,125,basis_fit,1
99,441,basis_fit,4
100,483,basis_fit,4
101,325,basis_fit,3
102,931,basis_fit,8
103,250,basis_fit,2
104,253,basis_fit,2
105,1170,basis_fit,10
106,786,basis_fit,7
107,880,basis_fit,7
108,990,basis_fit,9
109,845,basis_fit,7
110,196,basis_fit,2
111,778,basis_fit,7
112,1160,basis_fit,10
113,327,basis_fit,3
114,914,basis_fit,8
115,80,basis_fit,0
116,922,basis_fit,8
117,1165,basis_fit,10
118,963,basis_fit,8
119,1030,basis_fit,9
120,969,basis_fit,8
121,454,basis_fit,4
122,16,basis_fit,0
123,209,basis_fit,2
124,853,basis_fit,7
125,1011,basis_fit,9
126,1063,basis_fit,9
127,567,basis_fit,5
128,176,basis_fit,1
129,661,basis_fit,6
130,85,basis_fit,0
131,658,basis_fit,6
132,652,basis_fit,6
133,885,basis_fit,8
134,529,basis_fit,5
135,147,basis_fit,1
136,793,basis_fit,7
137,707,basis_fit,7
138,842,basis_fit,7
139,684,basis_fit,6
140,484,basis_fit,4
141,156,basis_fit,1
142,237,basis_fit,2
143,1080,basis_fit,10
144,185,basis_fit,1
145,345,basis_fit,3
146,17,basis_fit,0
147,513,basis_fit,5
148,311,basis_fit,3
149,475,basis_fit,4
150,32,basis_fit,0
151,57,basis_fit,0
152,591,basis_fit,6
153,1071,basis_fit,9
154,268,basis_fit,2
155,1155,basis_fit,10
156,446,basis_fit,4
157,764,basis_fit,7
158,338,basis_fit,3
159,1109,basis_fit,10
160,512,basis_fit,5
161,752,basis_fit,7
162,166,basis_fit,1
163,422,basis_fit,4
164,805,basis_fit,7
165,430,basis_fit,4
166,814,basis_fit,7
167,911,basis_fit,8
168,198,basis_fit,2
169,690,basis_fit,7
170,697,basis_fit,7
171,274,basis_fit,2
172,96,basis_fit,0
173,66,basis_fit,0
174,712,basis_fit,7
175,90,basis_fit,0
176,755,basis_fit,7
177,803,basis_fit,7
178,543,basis_fit,5
179,123,basis_fit,1
180,362,basis_fit,3
181,702,basis_fit,7
182,234,basis_fit,2
183,847,basis_fit,7
184,353,basis_fit,3
185,1049,basis_fit,9
186,141,basis_fit,1
187,528,basis_fit,5
188,164,basis_fit,1
189,241,basis_fit,2
190,730,basis_fit,7
191,939,basis_fit,8
192,492,basis_fit,5
193,818,basis_fit,7
194,917,basis_fit,8
195,452,basis_fit,4
196,1077,basis_fit,9
197,973,basis_fit,8
198,1025,basis_fit,9
199,83,basis_fit,0
200,116,basis_fit,1
201,128,basis_fit,1
202,572,basis_fit,5
203,431,basis_fit,4
204,603,basis_fit,6
205,143,basis_fit,1
206,76,basis_fit,0
207,91,basis_fit,0
208,877,basis_fit,7
209,645,basis_fit,6
210,407,basis_fit,4
211,897,basis_fit,8
212,546,basis_fit,5
213,1048,basis_fit,9
214,38,basis_fit,0
215,202,basis_fit,2
216,1162,basis_fit,10
217,975,basis_fit,8
218,550,basis_fit,5
219,715,basis_fit,7
220,377,basis_fit,3
221,1089,basis_fit,10
222,1021,basis_fit,9
223,1139,basis_fit,10
224,1140,basis_fit,10
225,308,basis_fit,3
226,472,basis_fit,4
227,827,basis_fit,7
228,662,basis_fit,6
229,1019,basis_fit,9
230,938,basis_fit,8
231,244,basis_fit,2
232,126,basis_fit,1
233,396,basis_fit,4
234,445,basis_fit,4
235,440,basis_fit,4
236,320,basis_fit,3
237,761,basis_fit,7
238,633,basis_fit,6
239,888,basis_fit,8
240,641,basis_fit,6
241,625,basis_fit,6
242,556,basis_fit,5
243,770,basis_fit,7
244,1132,basis_fit,10
245,1114,basis_fit,10
246,577,basis_fit,5
247,940,basis_fit,8
248,533,basis_fit,5
249,1134,basis_fit,10
250,672,basis_fit,6
251,366,basis_fit,3
252,222,basis_fit,2
253,1098,basis_fit,10
254,980,basis_fit,9
255,832,basis_fit,7
256,468,basis_fit,4
257,414,basis_fit,4
258,726,basis_fit,7
259,695,basis_fit,7
260,19,basis_fit,0
261,204,basis_fit,2
262,4,basis_fit,0
263,557,basis_fit,5
264,330,basis_fit,3
265,172,basis_fit,1
266,852,basis_fit,7
267,981,basis_fit,9
268,745,basis_fit,7
269,453,basis_fit,4
270,863,basis_fit,7
271,962,basis_fit,8
272,696,basis_fit,7
273,1075,basis_fit,9
274,812,basis_fit,7
275,381,basis_fit,3
276,62,basis_fit,0
277,305,basis_fit,3
278,1102,basis_fit,10
279,163,basis_fit,1
280,908,basis_fit,8
281,439,basis_fit,4
282,292,basis_fit,2
283,371,basis_fit,3
284,683,basis_fit,6
285,831,basis_fit,7
286,1052,basis_fit,9
287,342,basis_fit,3
288,510,basis_fit,5
289,574,basis_fit,5
290,826,basis_fit,7
291,862,basis_fit,7
292,357,basis_fit,3
293,767,basis_fit,7
294,242,basis_fit,2
295,31,basis_fit,0
296,610,basis_fit,6
297,947,basis_fit,8
298,443,basis_fit,4
299,766,basis_fit,7
300,78,basis_fit,0
301,382,basis_fit,3
302,496,basis_fit,5
303,146,basis_fit,1
304,1026,basis_fit,9
305,872,basis_fit,7
306,843,basis_fit,7
307,1,basis_fit,0
308,53,basis_fit,0
309,1000,basis_fit,9
310,157,basis_fit,1
311,769,basis_fit,7
312,801,basis_fit,7
313,532,basis_fit,5
314,358,basis_fit,3
315,293,basis_fit,3
316,959,basis_fit,8
317,1125,basis_fit,10
318,219,basis_fit,2
319,34,basis_fit,0
320,708,basis_fit,7
321,547,basis_fit,5
322,624,basis_fit,6
323,740,basis_fit,7
324,1056,basis_fit,9
325,974,basis_fit,8
326,1085,basis_fit,10
327,945,basis_fit,8
328,7,basis_fit,0
329,331,basis_fit,3
330,270,basis_fit,2
331,112,basis_fit,1
332,622,basis_fit,6
333,74,basis_fit,0
334,211,basis_fit,2
335,355,basis_fit,3
336,838,basis_fit,7
337,269,basis_fit,2
338,822,basis_fit,7
339,459,basis_fit,4
340,107,basis_fit,1
341,693,basis_fit,7
342,649,basis_fit,6
343,285,basis_fit,2
344,1043,basis_fit,9
345,149,basis_fit,1
346,797,basis_fit,7
347,819,basis_fit,7
348,881,basis_fit,7
349,406,basis_fit,4
350,372,basis_fit,3
351,286,basis_fit,2
352,1152,basis_fit,10
353,246,basis_fit,2
354,779,basis_fit,7
355,224,basis_fit,2
356,290,basis_fit,2
357,1105,basis_fit,10
358,896,basis_fit,8
359,900,basis_fit,8
360,41,basis_fit,0
361,1090,basis_fit,10
362,732,basis_fit,7
363,505,basis_fit,5
364,1169,basis_fit,10
365,709,basis_fit,7
366,787,basis_fit,7
367,1046,basis_fit,9
368,518,basis_fit,5
369,409,basis_fit,4
370,634,basis_fit,6
371,195,basis_fit,2
372,660,basis_fit,6
373,673,basis_fit,6
374,433,basis_fit,4
375,451,basis_fit,4
376,296,basis_fit,3
377,583,basis_fit,5
378,210,basis_fit,2
379,511,basis_fit,5
380,613,basis_fit,6
381,830,basis_fit,7
382,427,basis_fit,4
383,383,basis_fit,3
384,531,basis_fit,5
385,347,basis_fit,3
386,92,basis_fit,0
387,604,basis_fit,6
388,932,basis_fit,8
389,230,basis_fit,2
390,70,basis_fit,0
391,795,basis_fit,7
392,992,basis_fit,9
393,101,basis_fit,1
394,867,basis_fit,7
395,598,basis_fit,6
396,1131,basis_fit,10
397,114,basis_fit,1
398,759,basis_fit,7
399,423,basis_fit,4
400,699,basis_fit,7
401,213,basis_fit,2
402,548,basis_fit,5
403,170,basis_fit,1
404,328,basis_fit,3
405,509,basis_fit,5
406,13,basis_fit,0
407,248,basis_fit,2
408,300,basis_fit,3
409,236,basis_fit,2
410,405,basis_fit,4
411,1111,basis_fit,10
412,593,basis_fit,6
413,160,basis_fit,1
414,1024,basis_fit,9
415,144,basis_fit,1
416,205,basis_fit,2
417,840,basis_fit,7
418,1073,basis_fit,9
419,757,basis_fit,7
420,535,basis_fit,5
421,232,basis_fit,2
422,310,basis_fit,3
423,993,basis_fit,9
424,835,basis_fit,7
425,27,basis_fit,0
426,276,basis_fit,2
427,110,basis_fit,1
428,498,basis_fit,5
429,837,basis_fit,7
430,739,basis_fit,7
431,239,basis_fit,2
432,86,basis_fit,0
433,777,basis_fit,7
434,865,basis_fit,7
435,813,basis_fit,7
436,1079,basis_fit,10
437,175,basis_fit,1
438,1106,basis_fit,10
439,402,basis_fit,4
440,722,basis_fit,7
441,356,basis_fit,3
442,52,basis_fit,0
443,162,basis_fit,1
444,666,basis_fit,6
445,1149,basis_fit,10
446,386,basis_fit,3
447,98,basis_fit,1
448,1157,basis_eval,10
449,1148,basis_eval,10
450,352,basis_eval,3
451,361,basis_eval,3
452,729,basis_eval,7
453,686,basis_eval,7
454,904,basis_eval,8
455,988,basis_eval,9
456,375,basis_eval,3
457,184,basis_eval,1
458,582,basis_eval,5
459,465,basis_eval,4
460,462,basis_eval,4
461,659,basis_eval,6
462,301,basis_eval,3
463,152,basis_eval,1
464,1074,basis_eval,9
465,629,basis_eval,6
466,879,basis_eval,7
467,869,basis_eval,7
468,412,basis_eval,4
469,48,basis_eval,0
470,979,basis_eval,8
471,701,basis_eval,7
472,790,basis_eval,7
473,949,basis_eval,8
474,1005,basis_eval,9
475,188,basis_eval,1
476,351,basis_eval,3
477,635,basis_eval,6
478,1022,basis_eval,9
479,493,basis_eval,5
480,989,basis_eval,9
481,1036,basis_eval,9
482,694,basis_eval,7
483,905,basis_eval,8
484,8,basis_eval,0
485,497,basis_eval,5
486,906,basis_eval,8
487,1010,basis_eval,9
488,1013,basis_eval,9
489,79,basis_eval,0
490,527,basis_eval,5
491,73,basis_eval,0
492,817,basis_eval,7
493,1118,basis_eval,10
494,183,basis_eval,1
495,800,basis_eval,7
496,1172,basis_eval,10
497,944,basis_eval,8
498,1142,basis_eval,10
499,127,basis_eval,1
500,178,basis_eval,1
501,257,basis_eval,2
502,56,basis_eval,0
503,955,basis_eval,8
504,643,basis_eval,6
505,555,basis_eval,5
506,538,basis_eval,5
507,953,basis_eval,8
508,808,basis_eval,7
509,889,basis_eval,8
510,597,basis_eval,6
511,999,basis_eval,9
512,491,basis_eval,5
513,18,basis_eval,0
514,387,basis_eval,3
515,495,basis_eval,5
516,514,basis_eval,5
517,1166,basis_eval,10
518,1060,basis_eval,9
