probe_position,dataset_index,probe_split,label
0,29430,basis_fit,4
1,6866,basis_fit,1
2,27630,basis_fit,4
3,18415,basis_fit,2
4,40452,basis_fit,6
5,49011,basis_fit,8
6,47760,basis_fit,7
7,17457,basis_fit,2
8,29768,basis_fit,4
9,18976,basis_fit,3
10,57736,basis_fit,9
11,13356,basis_fit,2
12,11128,basis_fit,1
13,48858,basis_fit,8
14,9650,basis_fit,1
15,10838,basis_fit,1
16,5753,basis_fit,0
17,51282,basis_fit,8
18,13276,basis_fit,2
19,836,basis_fit,0
20,49898,basis_fit,8
21,12350,basis_fit,1
22,33783,basis_fit,5
23,11026,basis_fit,1
24,22019,basis_fit,3
25,7922,basis_fit,1
26,49939,basis_fit,8
27,18482,basis_fit,2
28,12325,basis_fit,1
29,43724,basis_fit,7
30,26494,basis_fit,4
31,35453,basis_fit,5
32,35911,basis_fit,5
33,10058,basis_fit,1
34,31123,basis_fit,5
35,39099,basis_fit,6
36,43070,basis_fit,7
37,15820,basis_fit,2
38,30254,basis_fit,4
39,2349,basis_fit,0
40,4467,basis_fit,0
41,3875,basis_fit,0
42,41832,basis_fit,6
43,50575,basis_fit,8
44,22002,basis_fit,3
45,7215,basis_fit,1
46,25359,basis_fit,4
47,16937,basis_fit,2
48,14659,basis_fit,2
49,9829,basis_fit,1
50,41638,basis_fit,6
51,52238,basis_fit,8
52,23957,basis_fit,3
53,20395,basis_fit,3
54,262,basis_fit,0
55,35662,basis_fit,5
56,36454,basis_fit,6
57,20527,basis_fit,3
58,23034,basis_fit,3
59,16150,basis_fit,2
60,13724,basis_fit,2
61,45631,basis_fit,7
62,48171,basis_fit,7
63,11145,basis_fit,1
64,43350,basis_fit,7
65,4647,basis_fit,0
66,24828,basis_fit,4
67,27397,basis_fit,4
68,34583,basis_fit,5
69,54007,basis_fit,8
70,15154,basis_fit,2
71,10942,basis_fit,1
72,31720,basis_fit,5
73,40036,basis_fit,6
74,47116,basis_fit,7
75,4051,basis_fit,0
76,18367,basis_fit,2
77,44433,basis_fit,7
78,2342,basis_fit,0
79,2173,basis_fit,0
80,10301,basis_fit,1
81,19777,basis_fit,3
82,50203,basis_fit,8
83,11141,basis_fit,1
84,5092,basis_fit,0
85,10885,basis_fit,1
86,30760,basis_fit,5
87,9648,basis_fit,1
88,30305,basis_fit,4
89,11985,basis_fit,1
90,16104,basis_fit,2
91,32519,basis_fit,5
92,29938,basis_fit,4
93,42033,basis_fit,7
94,7895,basis_fit,1
95,50343,basis_fit,8
96,33703,basis_fit,5
97,35405,basis_fit,5
98,5336,basis_fit,0
99,2009,basis_fit,0
100,36904,basis_fit,6
101,38420,basis_fit,6
102,37712,basis_fit,6
103,42901,basis_fit,7
104,35006,basis_fit,5
105,14610,basis_fit,2
106,13164,basis_fit,2
107,42845,basis_fit,7
108,55229,basis_fit,9
109,19573,basis_fit,3
110,53103,basis_fit,8
111,36292,basis_fit,6
112,54771,basis_fit,9
113,59216,basis_fit,9
114,19062,basis_fit,3
115,7987,basis_fit,1
116,6698,basis_fit,1
117,39201,basis_fit,6
118,8293,basis_fit,1
119,30711,basis_fit,5
120,49599,basis_fit,8
121,32630,basis_fit,5
122,501,basis_fit,0
123,12271,basis_fit,1
124,8644,basis_fit,1
125,3124,basis_fit,0
126,57632,basis_fit,9
127,41600,basis_fit,6
128,4055,basis_fit,0
129,52575,basis_fit,8
130,47671,basis_fit,7
131,31053,basis_fit,5
132,42941,basis_fit,7
133,54571,basis_fit,9
134,5085,basis_fit,0
135,46156,basis_fit,7
136,55729,basis_fit,9
137,31965,basis_fit,5
138,42618,basis_fit,7
139,22853,basis_fit,3
140,33946,basis_fit,5
141,30062,basis_fit,4
142,10586,basis_fit,1
143,19635,basis_fit,3
144,54338,basis_fit,9
145,53777,basis_fit,8
146,57505,basis_fit,9
147,9287,basis_fit,1
148,50255,basis_fit,8
149,14551,basis_fit,2
150,8659,basis_fit,1
151,49111,basis_fit,8
152,39961,basis_fit,6
153,23702,basis_fit,3
154,52591,basis_fit,8
155,14333,basis_fit,2
156,8462,basis_fit,1
157,27945,basis_fit,4
158,22917,basis_fit,3
159,17597,basis_fit,2
160,35174,basis_fit,5
161,48510,basis_fit,8
162,41186,basis_fit,6
163,12829,basis_fit,2
164,53664,basis_fit,8
165,25272,basis_fit,4
166,13487,basis_fit,2
167,31844,basis_fit,5
168,35849,basis_fit,5
169,10752,basis_fit,1
170,59375,basis_fit,9
171,11381,basis_fit,1
172,13157,basis_fit,2
173,16443,basis_fit,2
174,49915,basis_fit,8
175,18491,basis_fit,2
176,19131,basis_fit,3
177,40155,basis_fit,6
178,30594,basis_fit,4
179,5234,basis_fit,0
180,51499,basis_fit,8
181,28420,basis_fit,4
182,14142,basis_fit,2
183,39258,basis_fit,6
184,57121,basis_fit,9
185,43127,basis_fit,7
186,33964,basis_fit,5
187,21108,basis_fit,3
188,27656,basis_fit,4
189,22849,basis_fit,3
190,26102,basis_fit,4
191,12985,basis_fit,2
192,14645,basis_fit,2
193,26088,basis_fit,4
194,24207,basis_fit,3
195,18591,basis_fit,2
196,59729,basis_fit,9
197,7242,basis_fit,1
198,38721,basis_fit,6
199,12867,basis_fit,2
200,56062,basis_fit,9
201,50851,basis_fit,8
202,29340,basis_fit,4
203,48715,basis_fit,8
