control_scope,dataset,source_model,seed,layer,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,mask_replicate,marginal_preservation_check,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,mean_abs_g,rms_g,exact_zero_fraction,near_zero_fraction,temporal_gate_cosine,adjacent_timestep_cosine,checkpoint_sha256,method,epoch100_test_accuracy,selected_test_accuracy,source_file
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,nan,nan,124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,0.0127105540999767,0.0652341079733922,0.0,0.0,0.0579969622194767,0.1062942856767887,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=2
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,nan,nan,124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,0.0127105540999767,0.0652341079733922,0.0,0.0,0.0579969622194767,0.1062942856767887,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=3
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,unscaled,nan,0.25,0.25,nan,nan,124,321,448,546,680,43.285593245194725,6.124517532889842,456.9242091774371,0.5711552614717964,0.0126956662959693,0.0652340988753754,0.25,0.25,0.0579348802566528,0.1062890706973363,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=4
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,global_frobenius_norm_matched,nan,0.25,0.25,nan,nan,124,321,448,546,680,43.285593245194725,6.124517532889842,456.9242091774371,0.5711552614717964,0.0126956662959693,0.0652340988753754,0.25,0.25,0.0579348802566528,0.1062890706973363,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=5
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,unscaled,nan,0.5,0.5,nan,nan,124,321,448,546,680,43.435493912303016,6.125221772494088,457.246106634844,0.571557633293555,0.0126248498723907,0.0652339229371384,0.5,0.5,0.0574967935681343,0.1061078171118218,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=6
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,global_frobenius_norm_matched,nan,0.5,0.5,nan,nan,124,321,448,546,680,43.435493912303016,6.125221772494088,457.246106634844,0.571557633293555,0.0126248498723907,0.0652339229371384,0.5,0.5,0.0574967935681343,0.1061078171118218,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=7
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,unscaled,nan,0.75,0.75,nan,nan,124,321,448,546,680,44.57399467575234,6.129788982650015,459.3392219070615,0.574174027383827,0.0123340991677316,0.0652308090385949,0.75,0.75,0.0552615858614444,0.1035836082057067,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=8
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,global_frobenius_norm_matched,nan,0.75,0.75,nan,nan,124,321,448,546,680,44.57399467575234,6.129788982650015,459.3392219070615,0.574174027383827,0.0123341065106887,0.0652308479069113,0.75,0.75,0.0552615858614444,0.1035836082057067,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=9
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,unscaled,nan,0.8526092936197917,0.8526092936197917,nan,nan,125,322,449,547,680,46.85160500528606,6.13778126633026,463.0251009493671,0.5787813761867089,0.0119200944656096,0.0652168893232967,0.8526092936197917,0.8526092936197917,0.0517836511135101,0.0979664976441272,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=10
offline_post_hoc,N-MNIST,SNN-DFA,20260830,H1,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,global_frobenius_norm_matched,nan,0.8526092936197917,0.8526092936197917,nan,nan,125,322,449,547,680,46.85160500528606,6.13778126633026,463.0251009493671,0.5787813761867089,0.0119203886099961,0.0652184986402067,0.8526092936197917,0.8526092936197917,0.0517836511135101,0.0979664976441272,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,,,,results/frozen_sources/mechanisms/magnitude_sparsification_per_seed.csv#row=11
