dataset,method,seed,layer,width,probe_split,temporal_mode,checkpoint_rule,r50,r80,r90,r95,r99,checkpoint_sha256,source_file
N-MNIST,SNN-DFA,20260830,H1,800,basis_eval,timestep,completed_epoch_100,124,321,448,546,680,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=8
N-MNIST,SNN-DFA,20260830,H2,800,basis_eval,timestep,completed_epoch_100,105,299,427,528,664,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=10
N-MNIST,SNN-DFA,20260830,H3,800,basis_eval,timestep,completed_epoch_100,101,281,411,523,688,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=12
N-MNIST,SNN-DFA,20260831,H1,800,basis_eval,timestep,completed_epoch_100,130,331,457,554,682,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=20
N-MNIST,SNN-DFA,20260831,H2,800,basis_eval,timestep,completed_epoch_100,107,296,424,526,660,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=22
N-MNIST,SNN-DFA,20260831,H3,800,basis_eval,timestep,completed_epoch_100,92,271,402,516,686,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=24
N-MNIST,SNN-DFA,20260901,H1,800,basis_eval,timestep,completed_epoch_100,128,333,463,562,692,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=32
N-MNIST,SNN-DFA,20260901,H2,800,basis_eval,timestep,completed_epoch_100,106,300,431,537,678,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=34
N-MNIST,SNN-DFA,20260901,H3,800,basis_eval,timestep,completed_epoch_100,95,273,404,516,685,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=36
N-MNIST,SNN-DFA,20260908,H1,800,basis_eval,timestep,completed_epoch_100,128,331,459,557,683,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=44
N-MNIST,SNN-DFA,20260908,H2,800,basis_eval,timestep,completed_epoch_100,111,307,436,538,671,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=46
N-MNIST,SNN-DFA,20260908,H3,800,basis_eval,timestep,completed_epoch_100,95,276,408,522,694,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=48
N-MNIST,SNN-DFA,20260909,H1,800,basis_eval,timestep,completed_epoch_100,126,325,451,550,683,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=56
N-MNIST,SNN-DFA,20260909,H2,800,basis_eval,timestep,completed_epoch_100,104,300,432,536,674,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=58
N-MNIST,SNN-DFA,20260909,H3,800,basis_eval,timestep,completed_epoch_100,90,269,402,517,686,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=60
N-MNIST,matched SNN-BPTT,20260830,H1,800,basis_eval,timestep,completed_epoch_100,3,6,10,16,33,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=68
N-MNIST,matched SNN-BPTT,20260830,H2,800,basis_eval,timestep,completed_epoch_100,3,8,12,16,31,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=70
N-MNIST,matched SNN-BPTT,20260830,H3,800,basis_eval,timestep,completed_epoch_100,4,7,10,14,24,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=72
N-MNIST,matched SNN-BPTT,20260831,H1,800,basis_eval,timestep,completed_epoch_100,1,3,5,11,31,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=80
N-MNIST,matched SNN-BPTT,20260831,H2,800,basis_eval,timestep,completed_epoch_100,1,4,6,11,33,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=82
N-MNIST,matched SNN-BPTT,20260831,H3,800,basis_eval,timestep,completed_epoch_100,1,3,5,7,22,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=84
N-MNIST,matched SNN-BPTT,20260901,H1,800,basis_eval,timestep,completed_epoch_100,1,2,4,7,19,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=92
N-MNIST,matched SNN-BPTT,20260901,H2,800,basis_eval,timestep,completed_epoch_100,2,3,5,7,16,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=94
N-MNIST,matched SNN-BPTT,20260901,H3,800,basis_eval,timestep,completed_epoch_100,1,3,4,6,10,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=96
N-MNIST,matched SNN-BPTT,20260908,H1,800,basis_eval,timestep,completed_epoch_100,2,6,10,15,31,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=104
N-MNIST,matched SNN-BPTT,20260908,H2,800,basis_eval,timestep,completed_epoch_100,2,4,7,10,23,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=106
N-MNIST,matched SNN-BPTT,20260908,H3,800,basis_eval,timestep,completed_epoch_100,2,4,6,9,21,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=108
N-MNIST,matched SNN-BPTT,20260909,H1,800,basis_eval,timestep,completed_epoch_100,3,8,13,18,28,f9dc34813fda3e71c51cef44b549d13de3c75bc85a692aab5d81bf6e2e52a92e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=116
N-MNIST,matched SNN-BPTT,20260909,H2,800,basis_eval,timestep,completed_epoch_100,4,9,13,18,27,f9dc34813fda3e71c51cef44b549d13de3c75bc85a692aab5d81bf6e2e52a92e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=118
N-MNIST,matched SNN-BPTT,20260909,H3,800,basis_eval,timestep,completed_epoch_100,2,6,9,12,17,f9dc34813fda3e71c51cef44b549d13de3c75bc85a692aab5d81bf6e2e52a92e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=120
N-MNIST,temporal ANN-DFA,20260830,H1,800,basis_eval,timestep,completed_epoch_100,39,253,399,508,649,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=128
N-MNIST,temporal ANN-DFA,20260830,H2,800,basis_eval,timestep,completed_epoch_100,7,56,127,192,278,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=130
N-MNIST,temporal ANN-DFA,20260830,H3,800,basis_eval,timestep,completed_epoch_100,6,28,64,103,166,e9da049cb3b321aa4f5700c71788e8d685b721f654fbafc0fe94502dde8dcc50,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=132
N-MNIST,temporal ANN-DFA,20260831,H1,800,basis_eval,timestep,completed_epoch_100,71,289,429,531,659,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=140
N-MNIST,temporal ANN-DFA,20260831,H2,800,basis_eval,timestep,completed_epoch_100,7,70,154,228,326,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=142
N-MNIST,temporal ANN-DFA,20260831,H3,800,basis_eval,timestep,completed_epoch_100,7,34,75,117,178,582eaf2e63392b550e7f2d3208dda5e5757d7501c5ad43b98913f4a243bac29c,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=144
N-MNIST,temporal ANN-DFA,20260901,H1,800,basis_eval,timestep,completed_epoch_100,86,297,430,527,650,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=152
N-MNIST,temporal ANN-DFA,20260901,H2,800,basis_eval,timestep,completed_epoch_100,8,78,172,254,363,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=154
N-MNIST,temporal ANN-DFA,20260901,H3,800,basis_eval,timestep,completed_epoch_100,7,37,85,136,210,a6a1094ccb95d20bfdabf58320ff0c4ae9650d4ddb8667a1533d5db24a016a56,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=156
N-MNIST,temporal ANN-DFA,20260908,H1,800,basis_eval,timestep,completed_epoch_100,64,291,436,541,671,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=164
N-MNIST,temporal ANN-DFA,20260908,H2,800,basis_eval,timestep,completed_epoch_100,9,86,176,250,347,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=166
N-MNIST,temporal ANN-DFA,20260908,H3,800,basis_eval,timestep,completed_epoch_100,6,34,78,125,201,072604c237c2e886f379d46bf801b4f1fde4a069ae7dd08428aa34fc079c1ecb,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=168
N-MNIST,temporal ANN-DFA,20260909,H1,800,basis_eval,timestep,completed_epoch_100,105,330,465,561,678,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=176
N-MNIST,temporal ANN-DFA,20260909,H2,800,basis_eval,timestep,completed_epoch_100,9,114,226,320,449,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=178
N-MNIST,temporal ANN-DFA,20260909,H3,800,basis_eval,timestep,completed_epoch_100,6,33,80,128,202,81fd5ae699ebe89c5d21e5b3a8f967322f1c97a6d1f3042a2eccfcdc6da0dd0e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=180
N-MNIST,MeanGate,20260830,H1,800,basis_eval,timestep,completed_epoch_100,34,102,152,202,304,01dd13b84fc1529257bc4f2248e91b56196e7f5c2918f6a8c2d3f135bfbb8def,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=188
