dataset,method,seed,layer,checkpoint,checkpoint_sha256,checkpoint_rule,probe_split,N,T,width,credit_r95,q_r95,GE,source_raw_gate_batch_shape,git_commit,gate_space,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition
DVS-Gesture,SNN-DFA,20260830,H1,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260830/epoch_100.pt,66688715a5e593febcfeadea347f91017891418c89d03fbefadfc941f6b56c2b,completed_epoch_100,basis_eval,448,30,32,6,6,1.0,"[30, 16, 32, 128, 128]",UNAVAILABLE,canonical_spatial_mean_channels,0.011877236009597763,0.014078248961948814,9.232583934977162,0.07878649766819218,0.0,0.0,1e-06,0.9962298274040222,0.998428773529056,0.04832586589990313,1.3293963033141242e-06,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260830,H1,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260830/epoch_100.pt,66688715a5e593febcfeadea347f91017891418c89d03fbefadfc941f6b56c2b,completed_epoch_100,basis_eval,448,30,32,6,6,1.0,"[30, 16, 32, 128, 128]",UNAVAILABLE,raw_neuron_and_spatial_features,0.011877236008716778,0.04409585558074519,3701.5393166927147,31.32273814988519,0.0,0.0,1e-06,0.16219390662653105,0.20090471857032408,0.05390350585836918,0.0015902357501616342,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260830,H2,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260830/epoch_100.pt,66688715a5e593febcfeadea347f91017891418c89d03fbefadfc941f6b56c2b,completed_epoch_100,basis_eval,448,30,64,7,7,1.0,"[30, 16, 64, 64, 64]",UNAVAILABLE,canonical_spatial_mean_channels,0.011312603720194775,0.013386180172427008,12.414987524545644,0.1050201329446166,0.0,0.0,1e-06,0.9954853653907776,0.9968300912949751,0.06126823075278204,1.9367211939298395e-06,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260830,H2,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260830/epoch_100.pt,66688715a5e593febcfeadea347f91017891418c89d03fbefadfc941f6b56c2b,completed_epoch_100,basis_eval,448,30,64,7,7,1.0,"[30, 16, 64, 64, 64]",UNAVAILABLE,raw_neuron_and_spatial_features,0.011312603717494,0.03214048279042518,1907.752324799609,16.003216940603295,0.0,0.0,1e-06,0.3637241763728006,0.3796499343512008,0.08294658706628866,0.0006515423124451129,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260830,H3,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260830/epoch_100.pt,66688715a5e593febcfeadea347f91017891418c89d03fbefadfc941f6b56c2b,completed_epoch_100,basis_eval,448,30,256,197,7,28.142857142857142,"[30, 16, 256]",UNAVAILABLE,canonical_spatial_mean_channels,0.011554078015655708,0.06167555005338862,114.40174487707431,0.8817939937814925,0.0,0.0001671200706845238,1e-06,0.0924929827451706,0.09246552257272163,0.415819726171169,0.003313180192475814,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260830,H3,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260830/epoch_100.pt,66688715a5e593febcfeadea347f91017891418c89d03fbefadfc941f6b56c2b,completed_epoch_100,basis_eval,448,30,256,197,7,28.142857142857142,"[30, 16, 256]",UNAVAILABLE,raw_neuron_and_spatial_features,0.011554078015655707,0.06167555005338862,114.40174487707137,0.8817939937814925,0.0,0.0001671200706845238,1e-06,0.09249298168080193,0.09246552257272164,0.415819726171169,0.0033131801924758146,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260831,H1,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260831/epoch_100.pt,11cbc80703898052a2033d05bbd1ef67acc7414a9f519866c4e305b90c9f8ddb,completed_epoch_100,basis_eval,448,30,32,5,6,0.8333333333333334,"[30, 16, 32, 128, 128]",UNAVAILABLE,canonical_spatial_mean_channels,0.014831176363275387,0.01706336876608216,11.190239977437757,0.09585466990934291,0.0,0.0,1e-06,0.9967893958091736,0.9987155783352535,0.05268876326829036,1.790556930534533e-06,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260831,H1,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260831/epoch_100.pt,11cbc80703898052a2033d05bbd1ef67acc7414a9f519866c4e305b90c9f8ddb,completed_epoch_100,basis_eval,448,30,32,5,6,0.8333333333333334,"[30, 16, 32, 128, 128]",UNAVAILABLE,raw_neuron_and_spatial_features,0.01483117635988666,0.04735466000409368,3975.093203769299,33.738114122666616,0.0,0.0,1e-06,0.19203997563038552,0.23435198430591894,0.054294354561374325,0.0017730083107700145,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260831,H2,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260831/epoch_100.pt,11cbc80703898052a2033d05bbd1ef67acc7414a9f519866c4e305b90c9f8ddb,completed_epoch_100,basis_eval,448,30,64,6,6,1.0,"[30, 16, 64, 64, 64]",UNAVAILABLE,canonical_spatial_mean_channels,0.010643540646686862,0.012976046923176141,12.034610216959356,0.10240563737048164,0.0,0.0,1e-06,0.9943318367004395,0.9963335096014067,0.05847712816829844,1.7577435547136193e-06,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260831,H2,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260831/epoch_100.pt,11cbc80703898052a2033d05bbd1ef67acc7414a9f519866c4e305b90c9f8ddb,completed_epoch_100,basis_eval,448,30,64,6,6,1.0,"[30, 16, 64, 64, 64]",UNAVAILABLE,raw_neuron_and_spatial_features,0.010643540650558028,0.02851108998806702,1692.3236207034327,14.283138876469929,0.0,0.0,1e-06,0.3871825156467302,0.40811718736581387,0.07716646283546037,0.0004945695757200394,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260831,H3,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260831/epoch_100.pt,11cbc80703898052a2033d05bbd1ef67acc7414a9f519866c4e305b90c9f8ddb,completed_epoch_100,basis_eval,448,30,256,189,7,27.0,"[30, 16, 256]",UNAVAILABLE,canonical_spatial_mean_channels,0.015405770499846306,0.07177207366341215,133.12974839190875,1.0515873034476502,0.0,3.7783668154761906e-06,1e-06,0.1147366613149643,0.11885698420096359,0.3566989542812667,0.00436992260224331,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
DVS-Gesture,SNN-DFA,20260831,H3,results/paper1_experiment03_20260901_server/checkpoints/stageD_cross_dataset/dvs_dfa/seed_20260831/epoch_100.pt,11cbc80703898052a2033d05bbd1ef67acc7414a9f519866c4e305b90c9f8ddb,completed_epoch_100,basis_eval,448,30,256,189,7,27.0,"[30, 16, 256]",UNAVAILABLE,raw_neuron_and_spatial_features,0.015405770499846306,0.07177207366341215,133.12974839190628,1.0515873034476502,0.0,3.7783668154761906e-06,1e-06,0.11473665865404266,0.11885698420096359,0.3566989542812667,0.00436992260224331,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean"
