dataset,source_model,seed,layer,checkpoint,checkpoint_file,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,spectrum_reused_by_scale_invariance,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,ann_target_source,mask_replicate,marginal_preservation_check
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,True,0.0127105540999767,0.0652341079733922,228.56260681152344,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,unscaled,nan,0.25,0.25,False,0.0126956662959693,0.0652340988753754,228.67319982443104,1.7826867525379984,0.25,0.25,1e-06,0.0579348802566528,0.1062890706973363,0.2095540950433804,0.0038619054665406,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.285593245194725,6.124517532889842,456.9242091774371,0.5711552614717964,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,global_frobenius_norm_matched,nan,0.25,0.25,True,0.0126956662959693,0.0652340988753754,228.56260681152344,1.7826867525379984,0.25,0.25,1e-06,0.0579348802566528,0.1062890706973363,0.2095540950433804,0.0038619054665406,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.285593245194725,6.124517532889842,456.9242091774371,0.5711552614717964,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,unscaled,nan,0.5,0.5,False,0.0126248498723907,0.0652339229371384,228.67258308624565,1.782681078017419,0.5,0.5,1e-06,0.0574967935681343,0.1061078171118218,0.209555762443852,0.0038633889515742,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.435493912303016,6.125221772494088,457.246106634844,0.571557633293555,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,global_frobenius_norm_matched,nan,0.5,0.5,True,0.0126248498723907,0.0652339229371384,228.56260681152344,1.782681078017419,0.5,0.5,1e-06,0.0574967935681343,0.1061078171118218,0.209555762443852,0.0038633889515742,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.435493912303016,6.125221772494088,457.246106634844,0.571557633293555,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,unscaled,nan,0.75,0.75,False,0.0123340991677316,0.0652308090385949,228.6616675504103,1.7825864844461052,0.75,0.75,1e-06,0.0552615858614444,0.1035836082057067,0.2095781552993536,0.003871649278899,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,44.57399467575234,6.129788982650015,459.3392219070615,0.574174027383827,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,global_frobenius_norm_matched,nan,0.75,0.75,True,0.0123341065106887,0.0652308479069113,228.5625915527344,1.7825875464858518,0.75,0.75,1e-06,0.0552615858614444,0.1035836082057067,0.2095781552993536,0.003871649278899,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,44.57399467575234,6.129788982650015,459.3392219070615,0.574174027383827,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,unscaled,nan,0.8526092936197917,0.8526092936197917,False,0.0119200944656096,0.0652168893232967,228.6128730412088,1.7821728975460402,0.8526092936197917,0.8526092936197917,1e-06,0.0517836511135101,0.0979664976441272,0.2096668228295725,0.00388430114229,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",125,322,449,547,680,46.85160500528606,6.13778126633026,463.0251009493671,0.5787813761867089,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,global_frobenius_norm_matched,nan,0.8526092936197917,0.8526092936197917,True,0.0119203886099961,0.0652184986402067,228.5626220703125,1.7822168751574172,0.8526092936197917,0.8526092936197917,1e-06,0.0517836511135101,0.0979664976441272,0.2096668228295725,0.00388430114229,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",125,322,449,547,680,46.85160500528606,6.13778126633026,463.0251009493671,0.5787813761867089,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,False,0.017726797456581,0.0776460680027963,272.1824188589746,2.0700610027395823,0.0,0.0,1e-06,0.0840893238782882,0.1297228659402475,0.3152189431433105,0.0053612365318526,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",105,299,427,528,664,34.24198966823596,5.98992145561933,399.38323938594846,0.4992290492324355,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,True,0.017726797456581,0.0776460680027963,272.0122985839844,2.0700610027395823,0.0,0.0,1e-06,0.0840893238782882,0.1297228659402475,0.3152189431433105,0.0053612365318526,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",105,299,427,528,664,34.24198966823596,5.98992145561933,399.38323938594846,0.4992290492324355,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,unscaled,nan,0.25,0.25,False,0.0176827852991687,0.0776459838217307,272.1821237686139,2.070057288012248,0.25,0.25,1e-06,0.0838412418961525,0.1296852290596324,0.3152211190860219,0.0053622024161178,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",105,299,427,528,664,34.251744515517025,5.990036316206748,399.4291154140526,0.4992863942675657,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.25,nan,global_frobenius_norm_matched,nan,0.25,0.25,True,0.0176827852991687,0.0776459838217307,272.0122985839844,2.070057288012248,0.25,0.25,1e-06,0.0838412418961525,0.1296852290596324,0.3152211190860219,0.0053622024161178,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",105,299,427,528,664,34.251744515517025,5.990036316206748,399.4291154140526,0.4992863942675657,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,unscaled,nan,0.5,0.5,False,0.0174936979174835,0.0776449837470449,272.17861808243725,2.0700200028368774,0.5,0.5,1e-06,0.0825379192829132,0.1290150833174744,0.3152367395491169,0.0053679371008511,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",105,299,427,528,664,34.38119671949375,5.991272638994592,399.9232441199176,0.4999040551498969,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.50,nan,global_frobenius_norm_matched,nan,0.5,0.5,True,0.0174936979174835,0.0776449837470449,272.0122985839844,2.0700200028368774,0.5,0.5,1e-06,0.0825379192829132,0.1290150833174744,0.3152367395491169,0.0053679371008511,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",105,299,427,528,664,34.38119671949375,5.991272638994592,399.9232441199176,0.4999040551498969,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,unscaled,nan,0.75,0.75,False,0.0168943626396421,0.0776343091190619,272.14119898138534,2.069682784847799,0.75,0.75,1e-06,0.0776851400732994,0.1236898497749777,0.3153152533475749,0.0053910775175403,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",106,300,428,529,664,35.45424714634704,6.000809703056302,403.7555833033266,0.5046944791291582,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0.75,nan,global_frobenius_norm_matched,nan,0.75,0.75,True,0.0168944411831518,0.077634670053074,272.0123291015625,2.0696924071136684,0.75,0.75,1e-06,0.0776851400732994,0.1236898497749777,0.3153152533475749,0.0053910775175403,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",106,300,428,529,664,35.45424714634704,6.000809703056302,403.7555833033266,0.5046944791291582,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,unscaled,nan,0.83249462890625,0.83249462890625,False,0.0163435134256001,0.0776095586887751,272.05443821993794,2.068948739013777,0.83249462890625,0.83249462890625,1e-06,0.0729282945394516,0.1169018045746014,0.3154305733942142,0.0054128938074905,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",108,301,429,530,665,36.9823162205371,6.013588073055424,408.9480263607152,0.511185032950894,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,ann_matched,nan,global_frobenius_norm_matched,nan,0.83249462890625,0.83249462890625,True,0.0163445265400375,0.0776143696083519,272.01220703125,2.069076990611093,0.83249462890625,0.83249462890625,1e-06,0.0729282945394516,0.1169018045746014,0.3154305733942142,0.0054128938074905,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",108,301,429,530,665,36.9823162205371,6.013588073055424,408.9480263607152,0.511185032950894,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,unscaled,nan,0.0,0.0,False,0.0079003907885253,0.0504234298643598,176.75551976633852,1.2573703594556866,0.0,0.0,1e-06,0.0880589932203292,0.1358324827874336,0.4743338399405651,0.0023232731747041,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.5109058775680905,tables/5_seed_review/gate_per_seed.csv,nan,nan
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,magnitude_sparsity,0,nan,global_frobenius_norm_matched,nan,0.0,0.0,True,0.0079003907885253,0.0504234298643598,176.68182373046875,1.2573703594556866,0.0,0.0,1e-06,0.0880589932203292,0.1358324827874336,0.4743338399405651,0.0023232731747041,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.5109058775680905,tables/5_seed_review/gate_per_seed.csv,nan,nan
