dataset,source_model,seed,layer,checkpoint,checkpoint_file,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,spectrum_reused_by_scale_invariance,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,ann_target_source,mask_replicate,marginal_preservation_check
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811798300.0,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168431,1.816252722506707,0.0,0.0,1e-06,0.0462399832904338,0.0461736219151743,0.1747812780076568,0.0039308072357464,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",123,320,446,544,679,68.30832184069159,6.142054468981218,465.0079345458407,0.5812599181823009,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811798301.0,0.0,0.0,False,0.017726797456581,0.0776460680027963,272.18241885896555,2.1712461325682484,0.0,0.0,1e-06,0.0601992309093475,0.0605392420559053,0.1484387762057693,0.0054865593778849,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",128,329,455,550,673,57.99445828060725,6.151821386036534,469.5718800305904,0.5869648500382381,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811798302.0,0.0,0.0,False,0.0079003907885253,0.0504234298643598,176.75551976633685,1.386653209111626,0.0,0.0,1e-06,0.0292638596147298,0.0292235301607534,0.2347867588655743,0.0023911803072451,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",131,337,468,572,710,88.43379008456006,6.2060821097122965,495.75512722788153,0.6196939090348519,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260831,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811798310.0,0.0,0.0,False,0.0124539867610056,0.0645126198267627,226.14410958639803,1.7955343506692574,0.0,0.0,1e-06,0.0457034856081008,0.0457568022470761,0.1763195545324557,0.003846387702351,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",127,322,447,544,675,68.85419756639185,6.158700714205539,472.8133558967724,0.5910166948709655,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260831,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811798311.0,0.0,0.0,False,0.0180047823872433,0.0783120073876308,274.5168190061958,2.191259980188621,0.0,0.0,1e-06,0.0617747344076633,0.0619928727202874,0.1438633522955231,0.0055713868374813,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",121,321,449,546,666,54.159509852378136,6.115330222205168,452.745529315778,0.5659319116447226,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260831,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811798312.0,0.0,0.0,False,0.007846313947869,0.0502430080245254,176.12306465245783,1.3817024535007314,0.0,0.0,1e-06,0.0290349684655666,0.0291553020422691,0.2345445975890923,0.0023747379638492,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,328,465,572,712,58.94291447318091,6.168579056460462,477.5071131506765,0.5968838914383456,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260901,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811799010.0,0.0,0.0,False,0.0129845715701086,0.0659849421825243,231.3052242498808,1.837673921149752,0.0,0.0,1e-06,0.0466746166348457,0.0468216381982603,0.1729272556248784,0.0040198157606909,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",128,328,454,553,687,73.53755970302447,6.168722532084564,477.5756286967865,0.5969695358709831,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260901,H2,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811799011.0,0.0,0.0,False,0.0186192920542552,0.0796819855352072,279.3191737883934,2.22990417093668,0.0,0.0,1e-06,0.0614277981221675,0.06126979136632,0.1430380482471399,0.0057700170287247,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",128,334,464,564,688,58.857271395381886,6.16319029477742,474.94086178452415,0.5936760772306552,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260901,H3,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811799012.0,0.0,0.0,False,0.007992614992574,0.0506946907210867,177.70640418359957,1.3953163518892444,0.0,0.0,1e-06,0.0293069127947092,0.0292300286293037,0.231275966264396,0.0024167689550333,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",125,328,464,569,709,85.21406258407004,6.177775493184561,481.91873159453615,0.6023984144931702,nan,nan,exact sorted values per neuron
N-MNIST,SNN-DFA,20260908,H1,completed_epoch_100,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,per_neuron_marginal_shuffle,sample_time_independent_per_neuron,nan,value_multiset_exact,202811799080.0,0.0,0.0,False,0.0127484654715901,0.0654185280154216,229.31970222612287,1.82199185453044,0.0,0.0,1e-06,0.045901596546173,0.0456086957865027,0.1729582605797517,0.0039541225937174,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",125,321,447,546,678,65.22413760662727,6.1469725893565705,467.3005325588373,0.5841256656985466,nan,nan,exact sorted values per neuron
