dataset,source_model,seed,layer,checkpoint,checkpoint_file,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mask_seed,target_zero_fraction,achieved_zero_fraction,spectrum_reused_by_scale_invariance,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,ann_target_source,mask_replicate,marginal_preservation_check
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0,nan,global_frobenius_norm_matched,204635183000.0,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,0.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.25,nan,global_frobenius_norm_matched,204635183000.0,0.25,0.25,False,0.0110061677412868,0.0652279237051095,228.65155323210237,1.7716688021901652,0.25,0.25,1e-06,0.0442021451890468,0.0810369313118738,0.2370393626874381,0.0039238500334939,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",126,323,449,547,679,55.49348201730131,6.151889211116179,469.603729860849,0.5870046623260613,tables/5_seed_review/gate_per_seed.csv,0.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.50,nan,global_frobenius_norm_matched,204635183000.0,0.5,0.5,False,0.0089837166886591,0.0652208716600301,228.62683282143536,1.7505532957286098,0.5,0.5,1e-06,0.0304758492857217,0.0558981422808893,0.2860549283192984,0.0039862371303482,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",125,317,442,540,675,71.70963126932006,6.149304506204697,468.3915100839056,0.585489387604882,tables/5_seed_review/gate_per_seed.csv,0.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.75,nan,global_frobenius_norm_matched,204635183000.0,0.75,0.75,False,0.0063503056900066,0.065213109160399,228.5996219660682,1.6870674516958637,0.75,0.75,1e-06,0.0169311147183179,0.0315885551469622,0.4060460893605683,0.0040489350665115,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",123,311,434,531,667,80.60114292385829,6.13623786525292,462.31101870912624,0.5778887733864078,tables/5_seed_review/gate_per_seed.csv,0.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,ann_matched,nan,global_frobenius_norm_matched,204635183000.0,0.8526092936197917,0.8526092936197917,False,0.0048741223731879,0.065209156706404,228.5857669375187,1.608758216604291,0.8526092936197917,0.8526092936197917,1e-06,0.0114638227969408,0.0205721837952095,0.5312458020578275,0.0040743319249879,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",109,293,415,513,655,56.00452825953848,6.0605405379409145,428.6070526287813,0.5357588157859766,tables/5_seed_review/gate_per_seed.csv,0.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0,nan,global_frobenius_norm_matched,204635183001.0,0.0,0.0,False,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,tables/5_seed_review/gate_per_seed.csv,1.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.25,nan,global_frobenius_norm_matched,204635183001.0,0.25,0.25,False,0.0110078074874392,0.0652278996519276,228.65146891548625,1.7718446589680446,0.25,0.25,1e-06,0.0443211533129215,0.0813702453613835,0.2374899320809259,0.0039236207229438,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",127,322,449,547,680,55.79592315669003,6.154278139729637,470.7269207253285,0.5884086509066606,tables/5_seed_review/gate_per_seed.csv,1.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.50,nan,global_frobenius_norm_matched,204635183001.0,0.5,0.5,False,0.0089826889596769,0.0652208941299522,228.62691158805004,1.7506276227404636,0.5,0.5,1e-06,0.030579887330532,0.0560766290460912,0.2870577702919907,0.0039861494246174,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",126,321,447,544,675,71.85522840327558,6.161409705361094,474.0959395656653,0.5926199244570816,tables/5_seed_review/gate_per_seed.csv,1.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,0.75,nan,global_frobenius_norm_matched,204635183001.0,0.75,0.75,False,0.006347629395082,0.0652131077661455,228.59961707861729,1.6895005126416625,0.75,0.75,1e-06,0.017067614942789,0.0309371228316583,0.4039185358090792,0.0040482908624737,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",119,310,434,532,667,67.73418940727743,6.1174375609181055,453.700623496831,0.5671257793710387,tables/5_seed_review/gate_per_seed.csv,1.0,nan
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,random_sparsity,ann_matched,nan,global_frobenius_norm_matched,204635183001.0,0.8526092936197917,0.8526092936197917,False,0.0048748678300544,0.0652092026085643,228.58592784407057,1.6090531772269798,0.8526092936197917,0.8526092936197917,1e-06,0.0118733244016766,0.0217641135623118,0.5351774154405705,0.0040732555391765,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",106,292,417,515,657,53.164286679367954,6.043251170520668,421.2604003081736,0.526575500385217,tables/5_seed_review/gate_per_seed.csv,1.0,nan
