seed,epoch,role,checkpoint,model_sha256,duplicate
20260830,0,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/init.pt,5b01de1b87460e8e2ef1f14349886344692e1b8a8ca55c45b731482a1e010a92,False
20260830,10,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_010.pt,569c354e3602f26b642483c41ea03fa9efd40b0378a7a8b91a557ae34a2aa556,False
20260830,25,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_025.pt,3facb508d09701b80ff8395db59c08fffbb82126c7b1ae9f455ed0ef6afe8b4d,False
20260830,50,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_050.pt,919cac4b96c7b4dce8337f4f45b3fcd5eb7153401c4c76224c3a9c36a380845a,False
20260830,75,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_075.pt,3924ba11d46489fb73edf07c735a1666121c9a4e950a9dfdf02551e0b5c08383,False
20260830,100,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,6c4f95e1e937b80f79259b885c97c06089a73529c6f81b903c855ce7e110a457,False
20260830,49,validation_selected_best,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/best_validation.pt,6ebfbd3e98eaef3facbed075f64b5a02b8c08571c3714b1e879c77081c425728,False
20260831,0,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/init.pt,21792855b56305732efa7b8b712b802abb0d9bd4da1e0b533d899ba7e8a75874,False
20260831,10,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_010.pt,55ef1be50062e61ef767f98f29f346b09c3d1a7b680ed6969587d7dde87c7346,False
20260831,25,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_025.pt,a3a449a195f9e745ac215fb4e60ef16bd38fb5495701de14b2d2ae6e0c29e91a,False
