group_type,group,signal,rho,n,seed_count,x,y,probe_split,checkpoint_rule,p_value
pooled,all,timestep,-0.6028121473827908,105,5,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
layer,H1,timestep,-0.8039825585146007,35,5,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
layer,H2,timestep,-0.4871899577397523,35,5,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
layer,H3,timestep,-0.0703208906828761,35,5,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260830,timestep,-0.7108952487219494,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260831,timestep,-0.7065725886090095,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260901,timestep,-0.5683663826882881,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260908,timestep,-0.6395843143870321,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260909,timestep,-0.47479737563314095,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
pooled,all,time-collapsed,-0.8233528648708845,105,5,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
layer,H1,time-collapsed,-0.9371937780762201,35,5,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
layer,H2,time-collapsed,-0.9168236719706306,35,5,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
layer,H3,time-collapsed,-0.6173192424347538,35,5,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260830,time-collapsed,-0.8238833445231899,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260831,time-collapsed,-0.8391294206033114,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260901,time-collapsed,-0.8428267880196796,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260908,time-collapsed,-0.79440619769024,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
seed,20260909,time-collapsed,-0.8421759565231394,21,1,temporal_gate_cosine,r95_over_D,basis_eval,scheduled_0_10_25_50_75_100_plus_validation_best_deduplicated_by_model_identity,not_reported
