dataset,method,seed,layer,checkpoint,checkpoint_rule,width,probe_split,source_file,checkpoint_sha256,git_commit,provenance_status,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,near_zero_threshold,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,zero_norm_fraction,cosine_definition,variance_definition,input_csv
N-MNIST,SNN-DFA,20260830,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,0.0131418065079696,0.0664094521883666,232.7933119688447,1.8133606282775752,0.0,0.0,1e-06,0.0594607219099998,0.1083609853057234,0.2058590357370516,0.0039932817426782,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,0.0180330331776233,0.0783830324221111,274.76579189280784,2.0891778228430278,0.0,0.0,1e-06,0.0839741826057434,0.1287706576272866,0.3168425445643341,0.005461465698735,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,0.0079043781407105,0.0504394324864545,176.8116157477856,1.2561988903162886,0.0,0.0,1e-06,0.0865328907966613,0.1346302233691949,0.4741519741385401,0.0023259432263344,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,1e-06,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,0.017726797456581,0.0776460680027963,272.1824188589746,2.0700610027395823,0.0,0.0,1e-06,0.0840893238782882,0.1297228659402475,0.3152189431433105,0.0053612365318526,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,0.0079003907885253,0.0504234298643598,176.75551976633852,1.2573703594556866,0.0,0.0,1e-06,0.0880589932203292,0.1358324827874336,0.4743338399405651,0.0023232731747041,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260831,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,0.0128728700244938,0.0657170252299538,230.36606163573327,1.7921807892938963,0.0,0.0,1e-06,0.059365551918745,0.107231063619917,0.2096938981815684,0.0039106347332602,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,0.0182363645584972,0.0788620612168057,276.44499110272415,2.106351735702982,0.0,0.0,1e-06,0.0858224928379058,0.1298022854267353,0.3124615845634701,0.0055179159841489,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,0.0077949711452958,0.0499903015979456,175.2372213867663,1.226380144594238,0.0,0.0,1e-06,0.0906809791922569,0.1420568400552851,0.5083412678734656,0.002283248985117,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260831.csv
N-MNIST,SNN-DFA,20260831,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,UNAVAILABLE,real_checkpoint_replay,0.0124539867610056,0.0645126198267627,226.14410958639056,1.7610448009369934,0.0,0.0,1e-06,0.0575211085379123,0.1057598228333332,0.2122817748212079,0.0037789468628002,0.0,canonical epsilon=1e-12; zero-vector effects retained,"population, time axis then sample/feature mean",04_gate_statistics/dfa_trained_20260831.csv
