dataset,model,method,seed,epoch,probe_split,batch_index,layer,gate_mode,production_delta_relative_error,applied_gate_norm_ratio
nmnist,snn,dfa_trained,20260830,0,basis_fit,0,hidden_1,actual,5.223297705470032e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,0,hidden_2,actual,5.156772786563125e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,0,hidden_3,actual,5.0914177762706465e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,1,hidden_1,actual,5.240482181534389e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,1,hidden_2,actual,5.1604697404172846e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,1,hidden_3,actual,5.0825359920736446e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,2,hidden_1,actual,5.1363223008138454e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,2,hidden_2,actual,5.1568264325396746e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,2,hidden_3,actual,5.0710255550256995e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,3,hidden_1,actual,5.1944155643468555e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,3,hidden_2,actual,5.1555211655340833e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_fit,3,hidden_3,actual,5.0995367928408086e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_eval,0,hidden_1,actual,5.0770406545552766e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_eval,0,hidden_2,actual,5.1563539216203935e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_eval,0,hidden_3,actual,5.111769496579655e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_eval,1,hidden_1,actual,5.167461836208531e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_eval,1,hidden_2,actual,5.1505864462342294e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_eval,1,hidden_3,actual,5.088940469022418e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_eval,2,hidden_1,actual,5.195207819497227e-08,1.0
nmnist,snn,dfa_trained,20260830,0,basis_eval,2,hidden_2,actual,5.1555566926708714e-08,1.0
