dataset,method,seed,layer,checkpoint,checkpoint_rule,width,probe_split,source_file,checkpoint_sha256,git_commit,provenance_status,temporal_mode,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,input_csv
N-MNIST,SNN-DFA,20260830,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,timestep,126,324,453,553,686,53.80816553589149,6.143620991532173,465.7369508228153,0.0672602069198643,0.5821711885285191,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,22,49,80,156,6.834553534102869,3.482441208033572,32.53905981071968,0.0085431919176285,0.0406738247633996,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,timestep,98,285,415,519,661,30.284110490252008,5.947189512894527,382.6763194338192,0.037855138112815,0.478345399292274,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,time-collapsed,4,10,26,48,122,4.9433699311350905,2.9821359936127085,19.72991463988223,0.0061792124139188,0.0246623932998527,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,timestep,91,267,398,511,682,37.30006768948867,5.9483583028037295,383.1238491376188,0.0466250846118608,0.4789048114220235,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H3,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_fit,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,16,34,60,132,5.47533903797949,3.2785301471027197,26.53673891736034,0.0068441737974743,0.0331709236467004,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,timestep,124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.0540894988571835,0.5711076710889101,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H1,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,time-collapsed,5,21,45,73,148,5.611278314215581,3.414849452488817,30.412370576207078,0.0070140978927694,0.0380154632202588,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,timestep,105,299,427,528,664,34.24198966823596,5.98992145561933,399.38323938594846,0.0428024870852949,0.4992290492324355,01_spectral_metrics/dfa_trained_20260830.csv
N-MNIST,SNN-DFA,20260830,H2,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,completed_epoch_100,800,basis_eval,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260830/epoch_100.pt,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,UNAVAILABLE,real_checkpoint_replay,time-collapsed,4,12,30,53,125,5.643124040481207,3.100893894033417,22.217802768887434,0.0070539050506015,0.0277722534611092,01_spectral_metrics/dfa_trained_20260830.csv
