dataset,source_model,seed,layer,checkpoint,checkpoint_sha256,probe_split,N,T,D,coordinate_system,offline_only,family,condition,alpha,scale_mode,mean_abs_g,rms_g,l2_norm_all_T_N_D,mean_per_sample_timestep_l2,exact_zero_fraction,near_zero_fraction,temporal_gate_cosine,adjacent_timestep_cosine,norm_cv_over_time,gate_temporal_variance,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,normalized_entropy_effective_rank,source_file
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0,0.0,global_frobenius_norm_matched,0.0127105540999767,0.0652341079733922,228.6732317168419,1.7826870602967266,0.0,0.0,0.0579969622194767,0.1062942856767887,0.2095539911255044,0.0038617148578147,124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.5711076710889101,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=2
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.25,0.25,global_frobenius_norm_matched,0.0163832773725616,0.065292554654076,228.87811213553903,1.7844866622930933,0.0,0.0,0.1225181519985199,0.1671445568756575,0.2041075599184573,0.0036089040119109,112,310,438,539,677,28.658479614761827,6.024324720755368,413.36241269695006,0.5167030158711876,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=3
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.5,0.5,global_frobenius_norm_matched,0.0225047717269004,0.0652758059776552,228.8194009170897,1.786092961642118,0.0,0.0,0.266098141670227,0.3031340948047051,0.1855047086132381,0.0030264985419536,82,278,412,519,668,16.493595675078087,5.737840565991986,310.3934126626786,0.3879917658283482,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=4
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.75,0.75,global_frobenius_norm_matched,0.0329130276587961,0.0652581958018582,228.7576697777316,1.7905473607041833,0.0,0.0,0.6040861010551453,0.6239354218638883,0.1229803940812208,0.0016183293961621,14,159,303,431,628,8.43279621476389,4.8324466846962855,125.51768747490246,0.156897109343628,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=5
N-MNIST,SNN-DFA,20260830,H1,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_1,1.0,global_frobenius_norm_matched,0.0417970185864792,0.0652535782014464,228.7414831287403,1.7872072758116393,0.0,0.0,1.0,0.9999999999988124,0.0,0.0,5,21,45,73,148,5.61128171623326,3.4148562766897945,30.412578117044244,0.0380157226463053,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=6
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0,0.0,global_frobenius_norm_matched,0.017726797456581,0.0776460680027963,272.1824188589746,2.0700610027395823,0.0,0.0,0.0840893238782882,0.1297228659402475,0.3152189431433105,0.0053612365318526,105,299,427,528,664,34.24198966823596,5.98992145561933,399.38323938594846,0.4992290492324355,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=7
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.25,0.25,global_frobenius_norm_matched,0.0227058322486694,0.0777373744422023,272.50248667662663,2.078190963455397,0.0,0.0,0.1700716167688369,0.209862612467315,0.3039479192680315,0.0049476820134137,92,286,416,520,661,24.65402839320653,5.859092985546959,350.40617637468057,0.4380077204683507,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=8
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.5,0.5,global_frobenius_norm_matched,0.0307361022991535,0.0776960045300525,272.35746757847534,2.0949373509808527,0.0,0.0,0.3442824780941009,0.3755390840752676,0.267883908244058,0.0040294149907949,60,251,386,497,651,14.986772576770738,5.512195169405551,247.6942615783373,0.3096178269729216,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=9
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.75,0.75,global_frobenius_norm_matched,0.0434789073976155,0.0776685583032396,272.2612569062168,2.133544621635838,0.0,0.0,0.6812400221824646,0.6964605143446383,0.1662423302098327,0.0020157731888479,8,126,269,400,607,8.127549410363532,4.51382594353652,91.2703465535538,0.1140879331919422,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=10
N-MNIST,SNN-DFA,20260830,H2,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_1,1.0,global_frobenius_norm_matched,0.0532704653547857,0.0776495382805655,272.19458365526594,2.1562706451741764,0.0,0.0,1.0,0.999999999999038,0.0,0.0,4,12,30,53,125,5.643127945573859,3.1009073603170627,22.218101962136007,0.02777262745267,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=11
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0,0.0,global_frobenius_norm_matched,0.0079003907885253,0.0504234298643598,176.75551976633852,1.2573703594556866,0.0,0.0,0.0880589932203292,0.1358324827874336,0.4743338399405651,0.0023232731747041,101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.5109058775680905,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=12
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.25,0.25,global_frobenius_norm_matched,0.0102054612914203,0.0504631291322249,176.89468254731295,1.2689995432917802,0.0,0.0,0.1784552484750747,0.2205583015252027,0.452910960668769,0.0021806749583375,95,275,405,518,686,35.61482967932096,5.948513784327647,383.1834224486863,0.4789792780608579,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=13
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.5,0.5,global_frobenius_norm_matched,0.014095661201115,0.050466148995379,176.905268449199,1.2971232843885327,0.0,0.0,0.3496311604976654,0.3830912266341829,0.3944243028394877,0.001848902645984,77,254,386,502,679,22.15344922852917,5.7520461885579,314.8342118091118,0.3935427647613898,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=14
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.75,0.75,global_frobenius_norm_matched,0.0208842787806369,0.050465209046812,176.90197353059827,1.3586407087320995,0.0,0.0,0.6677020788192749,0.684866016268906,0.2435147185790291,0.0010146636714948,20,167,302,429,641,10.883261956630198,5.001492062683558,148.63476612369303,0.1857934576546163,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=15
N-MNIST,SNN-DFA,20260830,H3,completed_epoch_100,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_1,1.0,global_frobenius_norm_matched,0.0269272441289074,0.0504675530158758,176.91019013687682,1.4025131571728962,0.0,0.0,1.0,0.9999999999985264,0.0,0.0,5,20,39,64,135,6.50838291987292,3.40867791822041,30.225257570070973,0.0377815719625887,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=16
N-MNIST,SNN-DFA,20260831,H1,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0,0.0,global_frobenius_norm_matched,0.0124539867610056,0.0645126198267627,226.14410958639056,1.7610448009369934,0.0,0.0,0.0575211085379123,0.1057598228333332,0.2122817748212079,0.0037789468628002,130,331,457,554,682,49.9820209564572,6.159079688863601,472.9925741340908,0.5912407176676135,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=17
N-MNIST,SNN-DFA,20260831,H1,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.25,0.25,global_frobenius_norm_matched,0.016055548440535,0.0645701046784106,226.3456183861584,1.7628683647513983,0.0,0.0,0.1218610629439354,0.1664437872130766,0.2067609787074679,0.003532863052023,118,320,448,547,680,32.56586598354027,6.061720537990199,429.1131074856658,0.5363913843570822,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=18
N-MNIST,SNN-DFA,20260831,H1,completed_epoch_100,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,basis_eval,512,30,800,same_trained_model_and_neuron_coordinates,True,temporal_homogenization,alpha_0.5,0.5,global_frobenius_norm_matched,0.0220638452988282,0.0645531653998517,226.28623902633296,1.7646028268287068,0.0,0.0,0.2651358842849731,0.3022050200598532,0.1879362526527173,0.0029652164573863,86,288,422,527,671,18.514914435011853,5.780756332111646,324.0041525140685,0.4050051906425856,results/frozen_sources/mechanisms/temporal_homogenization_per_seed.csv#row=19
