dataset,method,seed,layer,width,checkpoint_rule_for_geometry,probe_split,temporal_mode,epoch100_test_accuracy,epoch100_test_loss,selected_test_accuracy,selected_test_loss,best_validation_epoch,r50,r80,r90,r95,r99,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,checkpoint_sha256,source_file_geometry,source_file_accuracy_epoch100,source_file_accuracy_selected
N-MNIST,SNN-DFA,20260830,H1,800,completed_epoch_100,basis_eval,timestep,0.9795,0.0213785537153482,0.9796,0.0221327763408422,49,124,321,448,546,680,43.271599085746814,6.124434206395464,456.8861368711281,0.0540894988571835,0.5711076710889101,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=8,results/frozen_sources/nmnist/all_runs.csv#row=2,results/frozen_sources/nmnist/all_runs.csv#row=3
N-MNIST,SNN-DFA,20260830,H2,800,completed_epoch_100,basis_eval,timestep,0.9795,0.0213785537153482,0.9796,0.0221327763408422,49,105,299,427,528,664,34.24198966823596,5.98992145561933,399.38323938594846,0.0428024870852949,0.4992290492324355,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=10,results/frozen_sources/nmnist/all_runs.csv#row=2,results/frozen_sources/nmnist/all_runs.csv#row=3
N-MNIST,SNN-DFA,20260830,H3,800,completed_epoch_100,basis_eval,timestep,0.9795,0.0213785537153482,0.9796,0.0221327763408422,49,101,281,411,523,688,46.65953694403787,6.013041829297904,408.7247020544724,0.0583244211800473,0.5109058775680905,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=12,results/frozen_sources/nmnist/all_runs.csv#row=2,results/frozen_sources/nmnist/all_runs.csv#row=3
N-MNIST,SNN-DFA,20260831,H1,800,completed_epoch_100,basis_eval,timestep,0.9802,0.0209864981979131,0.9805,0.0210296096727252,66,130,331,457,554,682,49.9820209564572,6.159079688863601,472.9925741340908,0.0624775261955714,0.5912407176676135,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=20,results/frozen_sources/nmnist/all_runs.csv#row=4,results/frozen_sources/nmnist/all_runs.csv#row=5
N-MNIST,SNN-DFA,20260831,H2,800,completed_epoch_100,basis_eval,timestep,0.9802,0.0209864981979131,0.9805,0.0210296096727252,66,107,296,424,526,660,35.1249940063122,5.999893953740518,403.3860136465792,0.0439062425078902,0.504232517058224,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=22,results/frozen_sources/nmnist/all_runs.csv#row=4,results/frozen_sources/nmnist/all_runs.csv#row=5
N-MNIST,SNN-DFA,20260831,H3,800,completed_epoch_100,basis_eval,timestep,0.9802,0.0209864981979131,0.9805,0.0210296096727252,66,92,271,402,516,686,33.2442588043034,5.9484272707822825,383.1502733262303,0.0415553235053792,0.4789378416577878,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=24,results/frozen_sources/nmnist/all_runs.csv#row=4,results/frozen_sources/nmnist/all_runs.csv#row=5
N-MNIST,SNN-DFA,20260901,H1,800,completed_epoch_100,basis_eval,timestep,0.9793,0.0217346093684434,0.9783,0.0229822759807109,55,128,333,463,562,692,49.5920722082469,6.156307662460865,471.6832418205877,0.0619900902603086,0.5896040522757346,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=32,results/frozen_sources/nmnist/all_runs.csv#row=6,results/frozen_sources/nmnist/all_runs.csv#row=7
N-MNIST,SNN-DFA,20260901,H2,800,completed_epoch_100,basis_eval,timestep,0.9793,0.0217346093684434,0.9783,0.0229822759807109,55,106,300,431,537,678,34.045276655207715,6.001673610192041,404.1045413448045,0.0425565958190096,0.5051306766810056,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=34,results/frozen_sources/nmnist/all_runs.csv#row=6,results/frozen_sources/nmnist/all_runs.csv#row=7
N-MNIST,SNN-DFA,20260901,H3,800,completed_epoch_100,basis_eval,timestep,0.9793,0.0217346093684434,0.9783,0.0229822759807109,55,95,273,404,516,685,41.68307580580713,5.969187366391296,391.1876493187913,0.0521038447572589,0.4889845616484891,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=36,results/frozen_sources/nmnist/all_runs.csv#row=6,results/frozen_sources/nmnist/all_runs.csv#row=7
N-MNIST,SNN-DFA,20260908,H1,800,completed_epoch_100,basis_eval,timestep,0.9792,0.021327164921164512,0.9799,0.021265442913770676,78,128,331,459,557,683,54.376903728769086,6.149796433048668,468.62198112400233,0.0679711296609613,0.5857774764050029,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=44,results/frozen_sources/nmnist/all_runs.csv#row=8,results/frozen_sources/nmnist/all_runs.csv#row=9
