dataset,method,seed,layer,width,probe_split,temporal_mode,checkpoint_rule,stable_rank,spectral_entropy,entropy_effective_rank,stable_rank_over_D,entropy_rank_over_D,checkpoint_sha256,source_file
N-MNIST,SNN-DFA,20260830,H1,800,basis_eval,timestep,completed_epoch_100,43.271599085746814,6.124434206395464,456.8861368711281,0.0540894988571835,0.5711076710889101,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=8
N-MNIST,SNN-DFA,20260830,H2,800,basis_eval,timestep,completed_epoch_100,34.24198966823596,5.98992145561933,399.38323938594846,0.0428024870852949,0.4992290492324355,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=10
N-MNIST,SNN-DFA,20260830,H3,800,basis_eval,timestep,completed_epoch_100,46.65953694403787,6.013041829297904,408.7247020544724,0.0583244211800473,0.5109058775680905,b8f2c8c95c5944358405d35f2d38dcb293461fa1e8641e9e6cb29ab98e39a534,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=12
N-MNIST,SNN-DFA,20260831,H1,800,basis_eval,timestep,completed_epoch_100,49.9820209564572,6.159079688863601,472.9925741340908,0.0624775261955714,0.5912407176676135,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=20
N-MNIST,SNN-DFA,20260831,H2,800,basis_eval,timestep,completed_epoch_100,35.1249940063122,5.999893953740518,403.3860136465792,0.0439062425078902,0.504232517058224,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=22
N-MNIST,SNN-DFA,20260831,H3,800,basis_eval,timestep,completed_epoch_100,33.2442588043034,5.9484272707822825,383.1502733262303,0.0415553235053792,0.4789378416577878,b486ef7efe077a5e11dbfa4148cfa5a8ec90514c3508227a9bf491bde631d58a,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=24
N-MNIST,SNN-DFA,20260901,H1,800,basis_eval,timestep,completed_epoch_100,49.5920722082469,6.156307662460865,471.6832418205877,0.0619900902603086,0.5896040522757346,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=32
N-MNIST,SNN-DFA,20260901,H2,800,basis_eval,timestep,completed_epoch_100,34.045276655207715,6.001673610192041,404.1045413448045,0.0425565958190096,0.5051306766810056,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=34
N-MNIST,SNN-DFA,20260901,H3,800,basis_eval,timestep,completed_epoch_100,41.68307580580713,5.969187366391296,391.1876493187913,0.0521038447572589,0.4889845616484891,554990a77b2d2e8f6498d66d6182e5b9f7b8a61fd2c63c09d3ded066f44b5563,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=36
N-MNIST,SNN-DFA,20260908,H1,800,basis_eval,timestep,completed_epoch_100,54.376903728769086,6.149796433048668,468.62198112400233,0.0679711296609613,0.5857774764050029,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=44
N-MNIST,SNN-DFA,20260908,H2,800,basis_eval,timestep,completed_epoch_100,34.584512110157725,6.0325253402923344,416.76617799115337,0.0432306401376971,0.5209577224889417,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=46
N-MNIST,SNN-DFA,20260908,H3,800,basis_eval,timestep,completed_epoch_100,44.877746430415456,5.975161818880248,393.5317768104556,0.0560971830380193,0.4919147210130695,9aad88592135096912c2e9971ced9f74b63d546bdd69208e989abf481efd833e,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=48
N-MNIST,SNN-DFA,20260909,H1,800,basis_eval,timestep,completed_epoch_100,52.49342029089328,6.1395231779636426,463.83235263569344,0.0656167753636166,0.5797904407946168,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=56
N-MNIST,SNN-DFA,20260909,H2,800,basis_eval,timestep,completed_epoch_100,33.98108993861835,5.992686556518867,400.4891025474471,0.0424763624232729,0.5006113781843089,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=58
N-MNIST,SNN-DFA,20260909,H3,800,basis_eval,timestep,completed_epoch_100,36.91713315621613,5.942550290120197,380.9051104307971,0.0461464164452701,0.4761313880384963,0800c9e1ee7b4cf64c5099e83f65ae2c8adb1bf072ccdaa45be9f1911ae9bad7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=60
N-MNIST,matched SNN-BPTT,20260830,H1,800,basis_eval,timestep,completed_epoch_100,4.575115207563208,2.43335430604155,11.397047219782966,0.005718894009454,0.0142463090247287,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=68
N-MNIST,matched SNN-BPTT,20260830,H2,800,basis_eval,timestep,completed_epoch_100,2.882588801086,2.3931214337473192,10.9476129136874,0.0036032360013574,0.0136845161421092,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=70
N-MNIST,matched SNN-BPTT,20260830,H3,800,basis_eval,timestep,completed_epoch_100,4.79150232163464,2.4562217882857404,11.660671721205034,0.0059893779020433,0.0145758396515062,a0b1f2882ec75eaac0ffac0d00a6d8982401e9139ae70995d499e09e067c5b84,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=72
N-MNIST,matched SNN-BPTT,20260831,H1,800,basis_eval,timestep,completed_epoch_100,1.6723815611879655,1.509973425302605,4.526610499411611,0.0020904769514849,0.0056582631242645,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=80
N-MNIST,matched SNN-BPTT,20260831,H2,800,basis_eval,timestep,completed_epoch_100,1.5630801797513287,1.56905658934752,4.802115689009256,0.0019538502246891,0.0060026446112615,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=82
N-MNIST,matched SNN-BPTT,20260831,H3,800,basis_eval,timestep,completed_epoch_100,1.5695249454261682,1.461287066558024,4.311505152882741,0.0019619061817827,0.0053893814411034,357d3640f99b0cfbbb828f68ee6a43f64e1a763012803411748d5deacc093fb7,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=84
N-MNIST,matched SNN-BPTT,20260901,H1,800,basis_eval,timestep,completed_epoch_100,1.7585561803988434,1.4099436637843832,4.095724659944062,0.0021981952254985,0.00511965582493,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=92
N-MNIST,matched SNN-BPTT,20260901,H2,800,basis_eval,timestep,completed_epoch_100,2.4243378184196698,1.649563297869611,5.204706424432469,0.0030304222730245,0.0065058830305405,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=94
N-MNIST,matched SNN-BPTT,20260901,H3,800,basis_eval,timestep,completed_epoch_100,1.6474949995785335,1.3366589849066692,3.806305314465894,0.0020593687494731,0.0047578816430823,e6fa6653b618112c29d0cb33a3a241b19ca29b81f1b30d540f6941d226efd493,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=96
N-MNIST,matched SNN-BPTT,20260908,H1,800,basis_eval,timestep,completed_epoch_100,2.5380060016607078,2.1969392348857717,8.997432284302533,0.0031725075020758,0.0112467903553781,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=104
N-MNIST,matched SNN-BPTT,20260908,H2,800,basis_eval,timestep,completed_epoch_100,2.584733093843374,1.9812249936302404,7.251620735667044,0.0032309163673042,0.0090645259195838,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=106
N-MNIST,matched SNN-BPTT,20260908,H3,800,basis_eval,timestep,completed_epoch_100,2.413798642131956,1.799446012892555,6.046296965865262,0.0030172483026649,0.0075578712073315,da788649d6b999c28f343f26c74881473c1d5361ccde354e476bd8389f242354,results/frozen_sources/nmnist/spectral_metrics_per_seed.csv#row=108
